FWA_coords
16.11,72.16
4.46,50.77
50.85,41.79
49.97,7.74
73.32,76.85
1.12,89.53
11.51,35.08
37.67,50.96
98.05,89.13
95.1,73.96
18.43,71.27
52.09,26.49
90.76,27.17
59.85,53.18
13.21,43.0
52.74,83.31
13.48,86.46
21.04,31.46
3.54,52.58
62.68,28.0
71.42,79.75
17.57,78.63
66.08,61.53
5.71,70.88
5.22,53.26
83.74,60.95
35.76,70.95
52.71,66.11
30.14,80.89
56.46,20.28
60.03,93.86
36.29,56.75
91.37,74.12
89.36,81.99
21.23,28.3
70.1,59.19
73.32,72.71
33.44,21.36
98.84,77.78
21.75,64.32
BS_coords
63.61,47.6
96.67,36.15
9.77,79.73
11.01,45.69
61.55,4.19
FWA_BS_distance
53.47376553039817,59.23488330367504,14.020474314373248,42.12919652687433,30.819581437780744,75.25373744871413,53.58321005688256,26.156704685414788,53.95233544527984,41.06664948592713,51.00491446909797,24.048752566401443,33.978042910091226,6.728595693010538,50.60948527697155,37.32775107075164,63.428041905769085,45.526964537513365,60.27607568513398,19.62205137084296,33.08502077980305,55.52064931176508,14.14728949304424,62.40487480958518,58.66368297336948,24.154490265787018,36.34343131846524,21.48092409557838,47.20662029842848,28.24012924899601,46.39831893506488,28.81154109033392,38.39176995138411,42.962013453747716,46.567739906506084,13.28338059380969,26.922039298686112,39.9845782771308,46.38949557820175,45.075691897074634
88.2419044445438,93.3618149994954,46.165809859678625,54.662767035707226,46.92240935842916,109.44965463627558,85.16672178732723,60.83038796522672,52.99796977243562,37.8425818358103,85.76078357850983,45.614602924940606,10.75027906614521,40.56763858052376,83.74063589440912,64.4508378533592,97.21971096439239,75.77527961017365,94.5681859823905,34.953434738234236,50.383752341404666,89.78507893854078,39.74786157770001,97.36474978142758,93.03684538934024,27.96828382293058,70.15032501706604,53.19852629537777,80.17423838116581,43.22847441212794,68.35885970377213,63.797369851742324,38.33811289043842,46.41919538294476,75.847320981034,35.16825983752964,43.380365374210484,64.93671534655877,41.68651820433077,80.04096013916875
9.874234147517472,29.442786892548064,55.91967453410293,82.45362393491266,63.61522537883521,13.071438329426488,44.68389083327458,40.07646316730058,88.77904257199444,85.52486071312832,12.106494125055367,68.010881482304,96.55016157417865,56.682527290162355,36.890737319820545,43.118874057656,7.68485523611212,49.568193430868554,27.855617027809675,73.99635801848629,61.65000324411995,7.8771822373231934,59.17817249628448,9.736842403982934,26.858209173360763,76.316769454688,27.43298197425865,45.04828520598758,20.403002230064086,75.59271525749025,52.20847153479979,35.09117837861818,81.79261641493076,79.6220804802286,52.69133230427943,63.73068727073324,63.93655370756231,62.98671129690771,89.09134301378559,19.518926712296462
26.956834012917763,8.289083182113693,40.03043342258488,54.388271713670036,69.66693405052357,44.9417144755293,10.621774804617164,27.17588085048947,97.2779276095045,88.71482965096646,26.63442884688913,45.34541211633213,81.87217414970729,49.4109876444501,3.475068344651655,56.18413744109632,40.84475241692621,17.409589311640865,10.162332409442234,54.61432962144642,69.35021052599625,33.586860526104545,57.302796615872076,25.741524818860285,9.530424964291992,74.31366294296089,35.3642488963077,46.431308402843875,40.06241255840692,52.07082292416743,68.72633629111915,27.59351373058531,85.24080302296548,86.35052113334348,20.170783326385713,60.61252428335253,67.91624621546747,33.09159712071933,93.5087001299879,21.504057756618863
81.7601033512067,73.68150717785298,39.09283821878376,12.11193213323126,73.60712261731197,104.56911829024858,58.80640866436242,52.51368678735097,92.45027636518995,77.4174101865982,79.74371950191437,24.223575293502808,37.16590507440927,49.01948694141953,61.99170670339702,79.60898504565927,95.28419491185304,48.83352332158719,75.54304865439308,23.836799281782778,76.2019061441379,86.46128613431563,57.518662188893096,86.9808122518984,74.70564771153516,60.94336469214676,71.56830094392349,62.547837692441455,82.88231476014651,16.875905901610142,89.68288186716572,58.314845451222794,76.02261045241738,82.62103908811605,46.97866004900522,55.66060096693172,69.52354493263415,32.939049773786735,82.49867998943984,72.10864649957036
